date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:00	2369696/2369696	U-----	200	untouched ('')	application/x-font-ttf	etag:%229e145dcca405c12eae454642518d2446-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/open-source/nanum-gothic-regular.ttf	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/open-source/nanum-gothic-regular.ttf	(from https://www.tmax.co.kr/)
21:49:00	10504/10504	---M--	200	added ('OK')	font/woff2	date:Wed,%2011%20Oct%202017%2018:22:31%20GMT	http://fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-Sfk_vArhqVIZ0nv9q090hN8.woff2	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-Sfk_vArhqVIZ0nv9q090hN8.woff2	(from https://www.tmax.co.kr/)
21:49:00	18568/18568	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%226e3b2e41359b58da0518550d0ff5cf57-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/cf053eae-ba1f-44f3-940c-a34b68ccbbdf.eot?	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/cf053eae-ba1f-44f3-940c-a34b68ccbbdfd41d.eot	(from https://www.tmax.co.kr/)
21:49:00	18428/18428	U-----	200	untouched ('')	application/octet-stream	etag:%22fa5fca87148cb4e43fdeba0a728f9ec4-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2	(from https://www.tmax.co.kr/)
21:49:01	13760/13760	---M--	200	added ('OK')	font/woff	date:Wed,%2011%20Oct%202017%2018:22:31%20GMT	http://fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-SRsxEYwM7FgeyaSgU71cLG0.woff	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-SRsxEYwM7FgeyaSgU71cLG0.woff	(from https://www.tmax.co.kr/)
21:49:01	22992/22992	---M--	200	added ('OK')	font/ttf	date:Wed,%2011%20Oct%202017%2018:22:43%20GMT	http://fonts.gstatic.com/s/poppins/v5/9VWMTeb5jtXkNoTv949NpS3USBnSvpkopQaUR-2r7iU.ttf	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/9VWMTeb5jtXkNoTv949NpS3USBnSvpkopQaUR-2r7iU.ttf	(from https://www.tmax.co.kr/)
21:49:02	41748/41748	U-----	200	untouched ('')	application/x-font-ttf	etag:%22aa04fda0b839ca617dc2eade68fd7158-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/c2a69697-4f06-4764-abd4-625031a84e31.ttf	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/c2a69697-4f06-4764-abd4-625031a84e31.ttf	(from https://www.tmax.co.kr/)
21:49:02	23494/23494	U-----	200	untouched ('')	application/x-font-woff	etag:W/%224876c2ea1b2652e7bd8f74dfa79d433e-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/e2b9cbeb-fa8e-41cd-8a6a-46044b29ba52.woff	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/e2b9cbeb-fa8e-41cd-8a6a-46044b29ba52.woff	(from https://www.tmax.co.kr/)
21:49:02	55823/55823	U-----	200	untouched ('OK')	image/svg+xml	etag:%227ee57dbee857cb0b772c902801a63310-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/dc423cc1-bf86-415c-bc7d-ad7dde416a34.svg	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/dc423cc1-bf86-415c-bc7d-ad7dde416a34.svg	(from https://www.tmax.co.kr/)
21:49:02	106676/106676	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22e3b533e0597cda4228f846774d8df050-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/ea95b44a-eab7-4bd1-861c-e73535e7f652.eot?	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/ea95b44a-eab7-4bd1-861c-e73535e7f652d41d.eot	(from https://www.tmax.co.kr/)
21:49:03	58279/58279	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2006%20Nov%202020%2000:59:44%20GMT	http://fonts.gstatic.com/l/font?kit=RbebACOccNN-5ixkDIVLjd1LKoZ82bBu2f46DhHcs3c&skey=7fbc556774b13ef0&v=v5	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/l/font.svg_;%20filename_=UTF-8''font4a9e.svg	(from https://www.tmax.co.kr/)
21:49:03	13747/13747	---M--	200	added ('OK')	font/eot	date:Wed,%2011%20Oct%202017%2018:22:52%20GMT	http://fonts.gstatic.com/s/poppins/v5/RbebACOccNN-5ixkDIVLjalSqKUsDpiXlwfj-ZM2w_A.eot?	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/RbebACOccNN-5ixkDIVLjalSqKUsDpiXlwfj-ZM2w_Ad41d.eot	(from https://www.tmax.co.kr/)
21:49:03	47276/47276	U-----	200	untouched ('')	application/x-font-woff	etag:W/%221f8210a15cb22be6ba959801a2158c1d-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/4021a3b9-f782-438b-aeb4-c008109a8b64.woff	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/4021a3b9-f782-438b-aeb4-c008109a8b64.woff	(from https://www.tmax.co.kr/)
21:49:03	106500/106500	U-----	200	untouched ('')	application/x-font-ttf	etag:%22ae5a7fe09d95ebb809f58e7c01751edb-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/669f79ed-002c-4ff6-965c-9da453968504.ttf	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/669f79ed-002c-4ff6-965c-9da453968504.ttf	(from https://www.tmax.co.kr/)
21:49:04	12256/12256	---M--	200	added ('OK')	font/woff2	date:Wed,%2011%20Oct%202017%2018:22:51%20GMT	http://fonts.gstatic.com/s/poppins/v5/RbebACOccNN-5ixkDIVLjRUOjZSKWg4xBWp_C_qQx0o.woff2	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/RbebACOccNN-5ixkDIVLjRUOjZSKWg4xBWp_C_qQx0o.woff2	(from https://www.tmax.co.kr/)
